num,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity
0,0vDK5l1Gv6TZviOYJgP3Y0,"You, Dear",Eloise,['Eloise'],0.713,0.476,11,-7.782,1,0.763,0.0,0.395,0.418,71.021,187125,4,0
1,5uQRmdIqyMmKPWJcot4UmV,Garden Song,Phoebe Bridgers,['Phoebe Bridgers'],0.528,0.273,0,-16.623,1,0.864,0.00617,0.111,0.158,98.311,219682,4,67
2,49UDOG8DoBajXTJSTqfRMg,Kyoto,Phoebe Bridgers,['Phoebe Bridgers'],0.599,0.742,11,-6.886,1,0.0488,0.32,0.0916,0.493,131.014,184524,4,72
3,7yR6GEJsPI6kmNRvFkPuN3,Punisher,Phoebe Bridgers,['Phoebe Bridgers'],0.428,0.226,1,-12.82,1,0.986,0.000402,0.108,0.212,129.163,189623,3,63
4,6sALLrBPX30ptG1HWH6vmW,Moon Song,Phoebe Bridgers,['Phoebe Bridgers'],0.38,0.24,1,-12.544,1,0.871,0.00287,0.107,0.172,103.818,277677,4,65
5,4BNew3AqFCvABdFsYMRiyB,Savior Complex,Phoebe Bridgers,['Phoebe Bridgers'],0.369,0.441,4,-11.879,1,0.931,0.0199,0.105,0.218,128.968,241640,3,66
6,3cr3oAP4bQFNjZBV7ElKaB,I Know The End,Phoebe Bridgers,['Phoebe Bridgers'],0.328,0.32,1,-10.282,1,0.324,0.019,0.234,0.259,111.453,344693,4,68
7,0xF4pgg7PrOG1HccKenJYz,Funeral,Phoebe Bridgers,['Phoebe Bridgers'],0.215,0.263,11,-14.416,1,0.947,0.00028,0.0919,0.307,172.332,232373,4,53
8,1CSMJfLvDbA2EirGbrIHAX,Demi Moore,Phoebe Bridgers,['Phoebe Bridgers'],0.392,0.175,2,-12.642,1,0.965,0.265,0.102,0.19,78.418,198532,4,44
9,36DPRfPRHwkNKmFSXESAKG,Scott Street,Phoebe Bridgers,['Phoebe Bridgers'],0.509,0.417,10,-9.632,1,0.77,0.0946,0.0887,0.482,134.956,305001,4,45
10,4a92Q0PPaDPKGAYedeYByP,Killer,Phoebe Bridgers,['Phoebe Bridgers'],0.499,0.127,0,-13.775,1,0.972,5.41e-06,0.113,0.0754,113.414,189213,4,44
11,3hJuRw5ZlIE37C9gPpbEVz,Georgia,Phoebe Bridgers,['Phoebe Bridgers'],0.479,0.439,2,-11.877,1,0.865,0.0124,0.105,0.285,101.89,247307,4,45
12,7IovFxqWV6RbT1ZB8IxZVr,You Missed My Heart,Phoebe Bridgers,['Phoebe Bridgers'],0.434,0.114,0,-14.155,1,0.963,1.55e-05,0.106,0.0799,73.504,417493,4,44
13,00GDwXZb7AUNgmKf1ECj0G,Did It to Myself,Orla Gartland,['Orla Gartland'],0.751,0.429,5,-10.552,1,0.0627,5.54e-05,0.0993,0.393,95.025,196940,4,34
14,37XSHvNDu2RjMOlMYyouiA,Figure It Out,Orla Gartland,['Orla Gartland'],0.594,0.337,10,-8.226,1,0.0882,0.0,0.175,0.166,184.034,200804,3,35
15,3p3uYUc79q8dAiVnduMCoc,Heavy,Orla Gartland,['Orla Gartland'],0.645,0.19,5,-12.02,1,0.785,0.000435,0.102,0.112,139.981,244947,4,27
16,6b7P9ZrNbF7WNczuIJqJL1,Oh GOD,Orla Gartland,['Orla Gartland'],0.787,0.241,2,-9.115,1,0.221,0.0197,0.167,0.5,92.526,166413,3,46
17,35qRwSUu7Z5bvqTE7iGyxi,New Friends,Orla Gartland,['Orla Gartland'],0.676,0.154,7,-12.819,1,0.936,1.83e-05,0.0948,0.353,95.109,178001,4,32
18,7GxyVndw3cC5Pw27dw8AQM,Did It To Myself,Orla Gartland,['Orla Gartland'],0.751,0.429,5,-10.552,1,0.0627,5.54e-05,0.0993,0.393,95.025,196940,4,44
19,45h4w81P5iJJTSeR0jJUQ8,She,dodie,['dodie'],0.479,0.154,2,-15.051,1,0.755,0.0261,0.11,0.232,92.457,213612,4,70
20,0BVABsIxUao7oUaDNJ16lT,Cool Girl,dodie,['dodie'],0.73,0.205,2,-15.489,1,0.872,0.0593,0.095,0.206,124.989,199385,4,40
21,6AURpqbH7V45OwiyQBkgpW,Arms Unfolding,dodie,['dodie'],0.444,0.0667,2,-15.892,1,0.993,0.00016,0.128,0.318,82.602,95765,3,51
22,5K2cBicu96Pf4mrBv3Jojk,If I'm Being Honest,dodie,['dodie'],0.435,0.191,10,-12.436,1,0.919,0.033,0.114,0.193,112.1,279324,4,54
23,6aDyiU2cVrqh33UEnEo3WA,6/10,dodie,['dodie'],0.262,0.163,7,-15.949,1,0.946,0.0948,0.103,0.0394,76.501,185488,4,51
24,3uYxmgnOA9lJYAsHyEbbWA,Intertwined,dodie,['dodie'],0.433,0.126,7,-20.93,1,0.952,0.223,0.115,0.0782,88.572,191100,3,52
25,7a9udNo0GU97xnMAkjLdmE,Sick of Losing Soulmates,dodie,['dodie'],0.519,0.275,2,-15.949,1,0.645,0.135,0.356,0.113,75.148,267300,4,50
26,04mAOoQNsXmDJlyupJwmkO,Waiting Room,Phoebe Bridgers,['Phoebe Bridgers'],0.531,0.289,2,-10.065,1,0.339,0.000376,0.134,0.119,129.747,393962,4,54
27,19CSr8rwW05VJL2F91KFNK,ivy,Taylor Swift,['Taylor Swift'],0.515,0.545,2,-9.277,1,0.855,1.97e-05,0.0921,0.535,88.856,260440,4,71
28,0sY6ZUTh4yoctD8VIXz339,champagne problems,Taylor Swift,['Taylor Swift'],0.462,0.24,0,-12.077,1,0.92,0.0,0.113,0.32,171.319,244000,4,79
29,6Kkt27YmFyIFrcX3QXFi2o,Liability,Lorde,['Lorde'],0.587,0.229,10,-11.254,0,0.92,0.0,0.1,0.379,75.67,171728,4,74
30,7l94AyvXRwnQgKccUU3PRN,April,Beach Bunny,['Beach Bunny'],0.549,0.836,9,-3.261,1,0.000299,0.0603,0.197,0.745,118.043,198419,4,57
31,015ROS1oTBabLaOLMzDF47,Hate Myself,dodie,['dodie'],0.755,0.53,8,-12.514,1,0.92,0.0334,0.15,0.903,103.985,208092,4,58
